NC_1	NC_2	NC_3	NC_4	NC_5	NC_6	Tomato_1	Tomato_2	Tomato_3	Tomato_4	Tomato_5	Tomato_6
4	5	43	16	17	9	39	28	124	37	10	63
56	52	45	62	65	40	0	18	7	25	12	12
44	54	47	60	56	35	0	0	19	32	22	25
0	0	24	0	0	0	21	113	62	57	59	52
48	16	33	36	30	10	26	48	31	27	39	41
33	0	37	36	30	0	35	82	44	0	27	60
56	74	56	40	31	42	8	20	7	23	17	8
22	34	17	14	18	13	62	34	23	39	66	37
60	65	54	23	50	23	6	12	21	27	14	14
52	46	60	40	14	16	22	38	32	24	10	14
45	33	35	48	53	35	14	19	33	24	19	10
35	43	41	47	61	37	0	23	25	32	23	0
0	0	0	0	0	0	50	0	0	0	285	27
43	0	50	48	0	0	44	53	51	0	0	67
64	26	66	62	52	33	0	18	20	14	0	0
41	38	34	43	29	13	15	23	32	61	7	13
20	13	11	0	0	0	42	61	41	31	74	55
63	69	45	71	42	28	12	17	0	0	0	0
0	0	0	0	0	0	71	98	20	0	62	96
18	0	31	23	18	57	39	71	17	12	28	31
68	48	44	50	41	25	14	0	15	20	18	0
48	30	55	65	29	26	0	21	13	38	0	18
62	39	38	60	66	29	7	8	14	13	6	0
31	27	22	39	46	23	27	39	36	14	16	22
0	41	41	22	0	35	46	38	41	18	42	16
0	0	0	0	0	0	55	54	94	22	19	90
0	0	0	0	16	0	34	65	47	48	54	66
3	0	7	4	9	30	23	18	73	111	18	33
67	50	46	27	55	33	6	0	4	32	0	6
6	0	59	38	10	147	21	25	3	7	5	4
58	28	44	31	48	29	19	14	18	0	12	20
30	19	24	35	29	19	15	19	25	36	29	36
29	32	17	16	35	15	23	33	21	11	47	37
0	0	20	0	29	0	103	3	54	28	27	49
0	0	11	8	31	97	25	45	18	17	43	15
33	36	35	47	53	33	0	0	24	23	11	11
41	38	21	41	40	26	12	8	17	27	14	17
50	30	39	13	34	17	13	24	24	32	8	16
45	35	47	40	37	29	8	14	19	14	0	12
21	21	28	24	40	0	16	30	33	38	25	24
47	27	42	46	37	18	0	15	24	26	0	17
68	23	33	53	57	36	7	0	10	11	0	0
27	21	34	23	28	0	31	20	39	27	15	33
47	66	60	31	52	24	0	14	0	0	0	0
20	27	21	23	13	34	17	33	22	19	39	26
61	20	49	41	42	11	12	11	17	16	0	13
72	20	18	70	11	13	9	13	30	17	11	7
34	52	18	38	32	39	9	13	15	19	11	10
48	32	33	62	34	27	0	0	27	0	0	25
13	32	26	28	38	14	18	27	29	27	23	11
9	0	0	0	6	0	55	49	43	32	46	46
37	22	0	32	34	47	0	17	19	30	25	21
42	86	26	36	48	20	3	6	4	0	7	4
5	0	14	5	0	0	33	58	30	36	27	74
29	4	31	15	43	4	31	23	36	26	14	25
23	20	23	23	35	17	11	20	25	36	12	36
17	24	0	20	35	23	37	28	18	17	33	29
48	31	40	23	28	18	0	17	18	26	15	14
46	29	41	54	18	0	7	12	21	19	13	18
54	28	36	29	61	29	0	0	40	0	0	0
33	31	27	19	30	20	15	24	11	26	23	15
37	13	19	37	15	0	21	29	33	26	21	17
21	0	21	18	0	35	16	28	26	26	46	31
0	17	16	5	4	144	48	0	0	5	11	17
19	43	23	14	65	17	10	13	14	14	18	14
0	0	12	21	15	12	0	21	22	33	97	31
37	26	34	28	24	8	10	20	22	18	14	22
41	72	34	24	43	7	0	0	10	21	10	0
7	0	21	18	37	0	37	40	33	17	18	34
31	44	40	24	49	19	4	7	7	19	11	5
51	13	26	42	35	17	6	0	21	18	11	15
33	25	29	19	14	12	19	19	30	14	16	25
0	0	0	0	0	0	52	77	29	0	29	63
0	0	0	0	0	0	53	38	36	42	47	33
33	34	46	38	44	22	0	2	6	19	0	0
0	0	9	0	28	0	44	42	24	28	32	37
27	38	22	28	23	9	11	21	21	16	15	12
31	25	46	39	28	24	0	13	9	11	8	8
33	32	37	40	28	18	8	8	9	16	9	0
0	0	0	0	0	0	112	0	0	16	110	0
46	30	24	23	25	24	7	17	8	8	13	12
38	20	0	28	38	0	15	15	7	17	35	22
47	41	42	48	28	0	0	0	0	28	0	0
37	36	39	25	30	13	6	7	10	22	0	9
35	18	16	35	46	12	11	12	9	13	11	16
13	11	28	13	24	0	32	20	13	24	17	38
0	0	29	0	108	0	31	33	0	0	0	32
44	25	27	24	49	18	21	0	24	0	0	0
44	39	41	47	18	8	0	0	17	18	0	0
27	27	28	22	29	0	0	0	35	46	0	18
0	0	15	0	20	0	36	38	20	36	11	55
38	32	25	32	0	21	0	24	0	15	24	18
36	23	23	17	30	15	11	9	13	25	14	12
10	0	0	0	0	0	37	43	23	29	42	44
0	0	0	0	0	0	0	207	0	0	20	0
42	7	31	30	19	0	5	22	22	16	12	18
0	0	0	18	0	21	32	39	35	25	26	27
36	23	25	53	24	11	3	7	8	14	11	7
20	23	0	11	24	12	25	17	21	19	23	27
42	29	21	36	49	19	8	0	6	0	0	11
36	13	21	23	17	0	14	20	24	31	14	8
9	9	10	0	7	0	32	36	22	11	34	51
36	41	21	31	15	26	0	12	11	14	0	13
29	0	68	36	37	29	0	0	0	0	20	0
62	40	37	46	33	0	0	0	0	0	0	0
57	19	27	33	27	13	0	8	9	17	0	8
53	33	31	27	13	24	0	6	7	12	6	6
31	39	25	32	0	28	5	20	10	13	15	0
36	21	31	34	28	20	10	7	18	8	0	4
33	37	20	31	30	25	6	5	8	11	6	5
0	0	0	0	0	0	60	57	0	0	50	46
43	28	32	49	38	0	0	0	22	0	0	0
35	35	30	24	34	20	4	0	4	21	5	0
0	29	15	0	24	18	15	40	18	0	28	25
40	27	27	35	23	28	0	17	0	0	14	0
33	22	34	25	37	23	0	0	17	18	0	0
