NC_1	NC_2	NC_3	NC_4	NC_5	NC_6	Tomato_1	Tomato_2	Tomato_3	Tomato_4	Tomato_5	Tomato_6
5	0	22	7	0	42	0	0	0	0	0	0
0	34	19	23	0	0	0	0	0	0	0	0
0	13	0	0	0	63	0	0	0	0	0	0
0	0	0	0	0	15	0	0	0	0	23	38
28	13	9	0	18	0	0	0	6	0	0	0
0	0	0	0	0	0	28	15	0	17	14	0
19	10	0	10	16	0	9	0	0	9	0	0
18	15	13	12	9	0	0	0	0	6	0	0
16	20	9	9	0	11	4	0	0	4	0	0
10	0	26	12	10	9	0	0	0	6	0	0
0	15	0	21	11	8	0	0	0	9	0	9
0	11	0	13	24	0	8	0	7	10	0	0
0	0	38	0	24	0	0	0	11	0	0	0
0	0	0	0	10	0	10	0	16	11	14	12
0	0	0	0	0	0	0	0	45	28	0	0
31	26	0	0	0	0	0	15	0	0	0	0
26	24	0	0	22	0	0	0	0	0	0	0
20	0	5	30	0	0	17	0	0	0	0	0
19	19	0	16	18	0	0	0	0	0	0	0
0	0	15	1	8	0	11	13	12	2	9	1
0	0	0	0	0	0	7	54	0	0	0	11
17	17	0	0	0	0	0	22	0	15	0	0
16	12	9	15	11	0	0	0	8	0	0	0
11	10	16	0	18	0	0	0	7	0	9	0
9	12	13	14	9	14	0	0	0	0	0	0
0	36	0	0	0	10	17	8	0	0	0	0
0	0	0	0	0	0	0	18	53	0	0	0
18	13	13	9	8	0	0	0	0	9	0	0
15	12	7	11	10	6	0	0	0	9	0	0
0	0	0	0	0	0	0	0	0	70	0	0
20	12	11	14	12	0	0	0	0	0	0	0
17	21	4	6	0	14	0	0	3	4	0	0
11	0	7	4	10	0	7	6	0	14	10	0
9	9	10	0	12	7	7	3	0	5	0	7
0	21	10	10	0	13	3	0	2	10	0	0
0	16	11	0	18	0	0	0	0	0	11	13
16	13	10	9	0	0	0	11	9	0	0	0
19	13	0	13	22	0	0	0	0	0	0	0
11	4	10	7	12	6	0	4	0	13	0	0
10	0	8	5	11	0	0	0	11	9	8	5
9	17	0	8	5	21	0	0	0	7	0	0
6	9	4	10	12	3	0	4	4	4	11	0
35	0	8	12	0	8	0	3	0	0	0	0
24	9	12	14	0	7	0	0	0	0	0	0
24	0	14	13	15	0	0	0	0	0	0	0
20	17	11	10	0	8	0	0	0	0	0	0
19	11	9	16	0	0	0	0	0	11	0	0
14	0	8	11	12	0	0	10	0	11	0	0
14	12	17	23	0	0	0	0	0	0	0	0
13	17	9	8	7	12	0	0	0	0	0	0
13	0	0	12	24	0	0	0	8	0	9	0
23	9	19	10	0	4	0	0	0	0	0	0
0	13	10	0	9	0	0	0	9	16	8	0
0	0	19	23	23	0	0	0	0	0	0	0
0	0	0	0	0	0	0	19	21	0	10	15
64	0	0	0	0	0	0	0	0	0	0	0
32	0	20	0	12	0	0	0	0	0	0	0
14	0	20	12	0	9	0	0	9	0	0	0
11	0	15	0	7	0	0	9	0	15	0	7
10	13	14	12	9	0	0	6	0	0	0	0
8	9	0	8	0	0	0	21	0	0	18	0
5	5	0	0	5	3	3	6	17	4	4	12
0	0	29	11	16	0	0	0	0	0	8	0
0	0	0	9	0	0	0	0	16	24	0	15
0	0	0	0	0	0	0	26	0	0	0	38
41	0	0	0	8	6	0	0	0	0	8	0
22	0	19	0	22	0	0	0	0	0	0	0
21	16	9	0	0	12	0	0	0	5	0	0
19	12	9	0	10	0	0	0	0	6	7	0
17	6	8	11	9	5	0	0	2	3	0	2
17	4	11	18	9	0	0	4	0	0	0	0
16	9	12	26	0	0	0	0	0	0	0	0
13	0	13	15	15	7	0	0	0	0	0	0
12	16	6	11	7	4	0	2	5	0	0	0
0	0	0	20	0	0	7	0	12	13	0	11
17	13	0	10	22	0	0	0	0	0	0	0
13	6	10	16	7	4	0	0	3	3	0	0
11	10	9	7	0	0	0	8	0	0	0	17
0	0	0	21	21	20	0	0	0	0	0	0
40	0	0	0	21	0	0	0	0	0	0	0
16	0	16	18	11	0	0	0	0	0	0	0
0	0	0	0	0	0	61	0	0	0	0	0
0	0	0	0	0	0	0	12	16	18	15	0
19	0	0	9	0	0	0	0	9	23	0	0
16	9	10	0	9	3	0	7	0	0	0	6
15	12	11	6	9	0	0	0	2	5	0	0
14	26	8	0	0	9	0	0	0	3	0	0
9	24	8	19	0	0	0	0	0	0	0	0
0	13	15	14	0	18	0	0	0	0	0	0
0	0	10	0	15	0	0	0	11	13	11	0
0	0	0	5	0	0	15	7	0	8	16	9
0	0	0	0	0	0	5	0	20	0	6	29
0	0	0	0	0	0	0	0	30	0	30	0
9	12	5	8	7	0	0	5	0	0	5	8
7	6	14	15	14	0	0	0	0	3	0	0
6	4	10	10	2	0	0	8	6	7	0	6
0	0	0	11	0	0	13	11	0	10	0	14
31	0	0	0	0	0	0	0	0	27	0	0
18	5	13	11	3	4	0	0	0	4	0	0
0	22	12	0	13	11	0	0	0	0	0	0
0	0	0	0	17	0	0	0	0	0	19	22
10	9	0	17	8	10	3	0	0	0	0	0
0	22	0	0	19	16	0	0	0	0	0	0
0	12	0	17	17	0	0	0	0	6	0	5
0	0	0	11	0	0	0	9	12	9	7	9
0	0	0	0	0	0	9	0	14	24	10	0
0	0	0	0	0	0	0	0	0	0	57	0
0	0	0	0	0	0	0	0	0	0	57	0
0	0	0	0	0	0	0	0	0	0	0	57
19	3	13	9	0	3	0	0	6	0	3	0
15	14	0	10	10	7	0	0	0	0	0	0
12	10	0	11	5	8	0	0	0	0	4	6
12	10	13	15	0	6	0	0	0	0	0	0
0	56	0	0	0	0	0	0	0	0	0	0
0	35	0	0	0	0	0	0	0	21	0	0
0	0	0	56	0	0	0	0	0	0	0	0
0	0	0	5	7	0	12	0	8	0	10	14
0	0	0	0	0	0	13	14	10	0	0	19
13	11	0	10	0	15	6	0	0	0	0	0
9	12	10	0	3	8	0	0	7	0	6	0
9	7	20	12	0	0	0	0	0	0	0	7
0	0	25	30	0	0	0	0	0	0	0	0
0	0	0	0	5	11	0	6	7	11	4	11
0	0	0	0	0	20	0	0	18	0	0	17
25	0	0	13	5	0	0	11	0	0	0	0
14	0	11	10	15	0	0	0	0	4	0	0
10	15	7	5	7	10	0	0	0	0	0	0
10	0	0	17	0	11	0	0	0	0	16	0
9	17	10	0	0	10	0	0	0	8	0	0
21	3	0	15	0	4	0	0	0	7	0	3
19	15	7	0	7	0	0	0	0	0	0	5
16	0	0	12	13	0	0	0	0	12	0	0
15	16	10	12	0	0	0	0	0	0	0	0
11	5	7	0	8	8	0	4	0	10	0	0
7	0	12	10	9	9	0	0	0	6	0	0
0	3	0	5	7	0	6	11	7	5	0	9
0	0	0	0	28	0	0	0	25	0	0	0
0	0	0	0	0	0	30	0	0	23	0	0
12	0	16	18	0	6	0	0	0	0	0	0
8	0	0	9	13	3	0	5	4	0	4	6
8	9	14	14	0	7	0	0	0	0	0	0
8	17	8	8	0	11	0	0	0	0	0	0
6	6	6	7	3	0	3	0	10	7	4	0
0	19	11	0	22	0	0	0	0	0	0	0
0	14	0	19	19	0	0	0	0	0	0	0
0	11	0	0	11	0	0	0	6	9	7	8
0	0	20	0	0	0	9	8	9	6	0	0
0	0	14	14	14	0	0	0	0	10	0	0
0	0	0	0	0	0	0	25	0	0	27	0
27	0	24	0	0	0	0	0	0	0	0	0
19	19	13	0	0	0	0	0	0	0	0	0
15	0	16	0	4	6	0	0	0	10	0	0
12	13	7	9	2	8	0	0	0	0	0	0
7	10	0	11	9	6	0	0	0	8	0	0
0	0	14	17	0	0	0	20	0	0	0	0
0	0	0	0	0	0	0	18	0	19	0	14
0	0	0	0	0	0	0	13	0	0	21	17
15	13	0	22	0	0	0	0	0	0	0	0
6	8	8	13	11	0	0	0	4	0	0	0
0	13	0	0	0	0	0	21	0	0	16	0
0	13	15	0	14	0	0	0	0	8	0	0
0	0	0	14	28	8	0	0	0	0	0	0
14	0	19	16	0	0	0	0	0	0	0	0
13	17	0	19	0	0	0	0	0	0	0	0
13	0	19	0	17	0	0	0	0	0	0	0
11	4	0	8	7	4	0	0	0	15	0	0
10	0	11	28	0	0	0	0	0	0	0	0
10	12	6	11	0	0	0	0	0	0	0	10
9	8	9	0	10	3	0	0	5	5	0	0
4	16	0	6	10	10	0	0	0	3	0	0
0	28	8	0	13	0	0	0	0	0	0	0
0	16	12	0	21	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	21	0	28
22	0	13	13	0	0	0	0	0	0	0	0
19	13	12	0	0	0	0	0	0	4	0	0
15	7	0	8	6	0	7	0	0	5	0	0
13	0	14	12	9	0	0	0	0	0	0	0
12	11	0	9	9	7	0	0	0	0	0	0
0	29	0	19	0	0	0	0	0	0	0	0
0	15	0	0	0	0	0	20	0	0	13	0
0	0	0	0	0	0	20	12	0	0	0	16
0	0	0	0	0	0	12	0	23	8	5	0
17	0	15	15	0	0	0	0	0	0	0	0
14	0	0	0	12	14	0	0	7	0	0	0
13	12	0	12	0	0	0	6	4	0	0	0
13	5	5	8	6	0	0	0	0	10	0	0
8	13	0	13	0	13	0	0	0	0	0	0
0	16	0	0	0	31	0	0	0	0	0	0
0	15	9	6	17	0	0	0	0	0	0	0
0	0	0	24	23	0	0	0	0	0	0	0
0	0	0	0	0	0	7	14	6	0	11	9
24	10	12	0	0	0	0	0	0	0	0	0
16	9	0	0	0	13	0	0	8	0	0	0
11	11	8	4	7	5	0	0	0	0	0	0
8	4	7	4	6	3	0	5	4	3	0	2
7	16	0	15	8	0	0	0	0	0	0	0
6	24	5	0	11	0	0	0	0	0	0	0
0	9	5	7	10	0	0	0	0	10	0	5
0	8	0	0	0	38	0	0	0	0	0	0
0	0	12	7	13	0	0	0	0	0	0	14
0	0	0	23	0	11	0	0	0	0	0	12
0	0	0	0	0	0	14	15	0	0	0	17
0	0	0	0	0	0	12	0	0	19	3	12
0	0	0	0	0	0	0	35	0	11	0	0
27	0	18	0	0	0	0	0	0	0	0	0
20	0	0	6	9	5	0	0	0	5	0	0
16	0	11	8	10	0	0	0	0	0	0	0
8	7	0	13	17	0	0	0	0	0	0	0
7	0	5	8	5	7	3	0	5	0	5	0
5	6	8	0	7	0	0	4	0	7	8	0
0	24	0	0	21	0	0	0	0	0	0	0
0	0	0	0	0	0	0	14	0	0	10	21
0	0	0	0	0	0	0	0	45	0	0	0
0	0	0	0	0	0	0	0	0	0	45	0
0	0	0	0	0	0	0	0	0	0	31	14
22	0	6	10	0	0	0	6	0	0	0	0
15	11	6	0	6	0	0	0	0	6	0	0
15	0	0	13	10	6	0	0	0	0	0	0
13	4	14	11	0	0	0	0	0	2	0	0
8	7	0	0	13	0	9	0	0	0	0	7
8	5	6	9	2	8	0	0	0	0	4	2
8	8	6	7	4	6	0	0	2	3	0	0
7	0	12	25	0	0	0	0	0	0	0	0
7	2	7	5	0	0	0	0	9	7	7	0
6	0	4	20	10	0	0	4	0	0	0	0
0	29	0	0	8	1	1	1	1	0	0	3
13	0	0	22	0	0	0	0	0	8	0	0
12	0	14	6	7	2	2	0	0	0	0	0
8	0	7	10	13	5	0	0	0	0	0	0
0	14	18	11	0	0	0	0	0	0	0	0
0	10	0	7	16	10	0	0	0	0	0	0
0	6	7	10	17	3	0	0	0	0	0	0
0	0	10	0	0	0	13	0	20	0	0	0
0	0	0	10	0	0	0	0	7	13	13	0
0	0	0	0	43	0	0	0	0	0	0	0
0	0	0	0	0	0	0	8	10	12	13	0
20	0	0	0	0	0	0	0	0	22	0	0
9	6	0	10	0	3	3	4	4	0	0	3
9	0	0	19	14	0	0	0	0	0	0	0
6	18	4	0	4	10	0	0	0	0	0	0
0	0	0	42	0	0	0	0	0	0	0	0
0	0	0	27	0	0	0	0	0	15	0	0
0	0	0	0	0	0	22	0	20	0	0	0
0	0	0	0	0	0	18	0	0	6	8	10
0	0	0	0	0	0	13	0	18	0	11	0
0	0	0	0	0	0	6	14	10	0	0	12
0	0	0	0	0	0	0	0	0	20	0	22
11	0	7	0	11	8	0	0	0	0	4	0
10	0	0	13	11	7	0	0	0	0	0	0
8	10	0	3	0	6	5	0	0	9	0	0
0	0	0	17	11	0	0	13	0	0	0	0
0	0	0	0	0	0	15	12	0	0	14	0
0	0	0	0	0	0	9	11	4	0	12	5
19	12	0	9	0	0	0	0	0	0	0	0
16	0	11	13	0	0	0	0	0	0	0	0
10	9	5	6	10	0	0	0	0	0	0	0
9	3	0	0	11	0	0	0	0	6	6	5
9	0	9	13	9	0	0	0	0	0	0	0
7	0	11	0	9	13	0	0	0	0	0	0
0	6	11	7	12	0	0	0	0	0	4	0
14	0	7	4	6	8	0	0	0	0	0	0
13	0	0	0	0	0	0	0	6	0	11	9
10	15	4	0	7	0	0	0	0	3	0	0
10	6	9	9	0	0	0	0	0	5	0	0
8	6	7	0	9	4	0	0	0	5	0	0
8	5	7	14	0	0	0	5	0	0	0	0
7	26	0	0	0	6	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	13	6	13
6	6	9	10	0	8	0	0	0	0	0	0
1	5	0	10	7	8	0	0	0	0	8	0
1	7	3	5	6	2	7	1	0	5	2	0
0	10	8	7	0	0	0	0	0	14	0	0
0	6	9	9	10	0	0	5	0	0	0	0
0	2	4	16	12	0	5	0	0	0	0	0
0	0	0	39	0	0	0	0	0	0	0	0
21	0	4	9	4	0	0	0	0	0	0	0
20	0	0	4	0	3	0	2	2	5	0	2
8	4	10	0	8	6	2	0	0	0	0	0
8	7	7	12	0	4	0	0	0	0	0	0
8	3	12	6	9	0	0	0	0	0	0	0
6	0	3	8	9	3	0	6	0	3	0	0
0	24	0	0	0	0	0	0	0	14	0	0
0	22	0	0	0	9	0	0	0	7	0	0
0	21	17	0	0	0	0	0	0	0	0	0
0	11	1	0	8	7	0	0	4	7	0	0
0	0	21	0	17	0	0	0	0	0	0	0
0	0	19	0	0	0	0	0	19	0	0	0
0	0	19	0	19	0	0	0	0	0	0	0
0	0	13	0	0	25	0	0	0	0	0	0
0	0	12	13	0	0	6	0	0	0	0	7
0	0	0	18	0	12	0	0	0	8	0	0
0	0	0	0	0	0	0	21	17	0	0	0
15	0	0	9	13	0	0	0	0	0	0	0
13	8	7	0	4	5	0	0	0	0	0	0
11	4	3	5	8	6	0	0	0	0	0	0
11	0	5	8	5	0	0	0	0	8	0	0
10	0	9	18	0	0	0	0	0	0	0	0
9	0	10	18	0	0	0	0	0	0	0	0
8	14	5	3	0	4	0	0	0	3	0	0
7	15	0	6	9	0	0	0	0	0	0	0
4	6	7	6	10	4	0	0	0	0	0	0
0	12	7	0	0	8	0	0	0	6	4	0
0	0	0	29	0	0	0	8	0	0	0	0
0	0	0	0	0	37	0	0	0	0	0	0
0	0	0	0	0	0	14	5	4	0	5	9
0	0	0	0	0	0	10	12	0	0	0	15
36	0	0	0	0	0	0	0	0	0	0	0
23	13	0	0	0	0	0	0	0	0	0	0
18	18	0	0	0	0	0	0	0	0	0	0
16	8	6	3	0	3	0	0	0	0	0	0
15	0	0	17	0	0	0	0	0	0	0	4
14	0	0	22	0	0	0	0	0	0	0	0
14	0	0	13	0	0	9	0	0	0	0	0
12	0	0	3	0	0	0	0	0	9	7	5
12	10	0	7	0	7	0	0	0	0	0	0
10	9	0	11	6	0	0	0	0	0	0	0
9	0	0	0	14	0	0	0	6	7	0	0
9	15	7	5	0	0	0	0	0	0	0	0
6	4	10	6	10	0	0	0	0	0	0	0
5	4	10	6	6	5	0	0	0	0	0	0
3	0	10	5	9	5	0	0	0	4	0	0
0	16	0	0	0	0	5	0	9	0	0	6
0	10	6	7	6	0	0	0	0	7	0	0
0	0	0	0	18	0	0	10	0	0	8	0
0	0	0	0	0	0	0	36	0	0	0	0
15	0	6	10	0	0	0	0	0	0	0	4
15	0	9	11	0	0	0	0	0	0	0	0
14	0	0	0	13	0	0	8	0	0	0	0
13	0	12	0	0	0	0	5	0	0	5	0
12	5	4	0	5	5	0	0	4	0	0	0
10	0	6	12	7	0	0	0	0	0	0	0
10	0	0	9	4	6	0	0	0	3	3	0
6	9	8	0	7	5	0	0	0	0	0	0
5	7	6	4	0	8	0	0	0	3	0	2
5	8	10	7	0	5	0	0	0	0	0	0
0	15	15	0	5	0	0	0	0	0	0	0
0	0	0	14	11	5	0	0	5	0	0	0
0	0	0	0	35	0	0	0	0	0	0	0
0	0	0	0	0	24	0	0	0	11	0	0
0	0	0	0	0	0	0	17	0	18	0	0
0	0	0	0	0	0	0	0	0	35	0	0
0	0	0	0	0	0	0	0	0	0	0	35
21	13	0	0	0	0	0	0	0	0	0	0
16	0	0	18	0	0	0	0	0	0	0	0
8	6	7	7	0	6	0	0	0	0	0	0
8	0	5	7	5	3	0	0	0	6	0	0
6	0	6	7	0	0	6	0	5	0	4	0
6	7	7	6	4	4	0	0	0	0	0	0
5	0	4	9	9	4	0	0	0	0	0	3
5	0	2	0	8	0	0	0	6	7	4	2
4	3	4	0	9	0	0	0	4	7	3	0
0	12	0	0	8	0	0	8	6	0	0	0
0	10	7	0	9	0	0	0	0	4	0	4
0	5	2	0	12	5	0	4	0	6	0	0
0	0	0	0	26	8	0	0	0	0	0	0
0	0	0	0	0	0	8	14	0	0	12	0
0	0	0	0	0	0	0	0	25	0	0	9
20	0	0	13	0	0	0	0	0	0	0	0
17	0	0	11	0	0	0	5	0	0	0	0
11	8	7	3	0	4	0	0	0	0	0	0
9	4	4	3	7	2	0	2	0	0	0	2
9	5	8	6	0	0	5	0	0	0	0	0
9	8	0	8	8	0	0	0	0	0	0	0
9	0	9	15	0	0	0	0	0	0	0	0
9	6	0	14	4	0	0	0	0	0	0	0
8	0	6	0	0	0	0	6	0	8	0	5
6	0	11	9	0	0	0	0	0	0	0	7
5	0	0	7	0	0	4	10	4	3	0	0
4	12	0	0	4	8	0	0	0	5	0	0
0	22	0	0	0	0	0	0	0	11	0	0
0	10	5	0	14	0	0	0	0	2	0	2
0	9	5	9	0	0	0	4	4	0	0	2
0	7	11	9	0	2	0	0	0	0	4	0
0	0	0	13	0	12	0	8	0	0	0	0
0	0	0	0	0	0	25	8	0	0	0	0
13	0	0	0	0	0	0	19	0	0	0	0
11	10	0	11	0	0	0	0	0	0	0	0
6	4	8	7	0	0	0	0	0	3	0	4
5	12	2	4	3	2	0	0	0	4	0	0
2	7	0	14	9	0	0	0	0	0	0	0
0	18	0	0	14	0	0	0	0	0	0	0
0	7	0	0	8	0	7	0	0	0	7	3
0	0	0	32	0	0	0	0	0	0	0	0
0	0	0	0	20	0	0	12	0	0	0	0
0	0	0	0	0	0	7	12	0	0	0	13
0	0	0	0	0	0	0	19	0	0	13	0
18	0	0	0	13	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	16	0
11	0	0	8	8	0	0	0	0	0	0	4
10	0	0	0	0	0	5	0	0	9	7	0
7	0	11	4	3	0	0	2	0	4	0	0
5	10	0	0	10	0	0	0	0	6	0	0
5	12	5	3	0	4	0	0	0	2	0	0
0	13	0	18	0	0	0	0	0	0	0	0
0	10	0	0	0	21	0	0	0	0	0	0
0	9	0	6	7	5	0	0	4	0	0	0
0	0	6	0	12	13	0	0	0	0	0	0
0	0	0	0	0	31	0	0	0	0	0	0
0	0	0	0	0	31	0	0	0	0	0	0
17	13	0	0	0	0	0	0	0	0	0	0
15	0	0	15	0	0	0	0	0	0	0	0
13	0	6	0	0	11	0	0	0	0	0	0
12	0	0	14	0	4	0	0	0	0	0	0
7	15	0	0	8	0	0	0	0	0	0	0
6	7	10	0	0	7	0	0	0	0	0	0
4	0	3	8	6	4	2	3	0	0	0	0
0	11	0	0	8	7	0	0	0	4	0	0
0	10	6	3	9	2	0	0	0	0	0	0
0	8	9	13	0	0	0	0	0	0	0	0
0	0	18	12	0	0	0	0	0	0	0	0
0	0	13	0	0	0	0	17	0	0	0	0
0	0	0	17	13	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	16	0	0	14
0	0	0	0	0	0	0	0	7	16	7	0
0	0	0	0	0	0	0	0	0	0	0	30
13	0	4	0	4	0	0	3	5	0	0	0
12	17	0	0	0	0	0	0	0	0	0	0
9	3	7	4	0	6	0	0	0	0	0	0
7	0	10	0	0	6	0	6	0	0	0	0
7	0	5	10	7	0	0	0	0	0	0	0
6	12	0	0	11	0	0	0	0	0	0	0
4	0	6	8	7	0	0	0	0	0	4	0
4	3	5	0	11	6	0	0	0	0	0	0
0	25	0	0	4	0	0	0	0	0	0	0
0	14	0	0	15	0	0	0	0	0	0	0
0	9	12	0	8	0	0	0	0	0	0	0
0	6	7	8	5	3	0	0	0	0	0	0
0	0	8	0	5	8	0	0	0	8	0	0
0	0	0	0	0	0	4	11	0	0	14	0
0	0	0	0	0	0	0	20	0	0	6	3
0	0	0	0	0	0	0	12	6	5	0	6
0	0	0	0	0	0	0	0	5	0	5	19
28	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	2	0	0	0	0	5	0	0
13	0	0	0	0	0	0	0	15	0	0	0
13	10	0	0	5	0	0	0	0	0	0	0
13	0	0	9	6	0	0	0	0	0	0	0
10	11	0	0	7	0	0	0	0	0	0	0
10	0	0	12	0	6	0	0	0	0	0	0
10	4	0	6	0	0	0	5	0	0	3	0
6	8	8	0	6	0	0	0	0	0	0	0
3	0	0	22	0	0	0	3	0	0	0	0
0	8	9	11	0	0	0	0	0	0	0	0
0	0	12	0	16	0	0	0	0	0	0	0
0	0	12	0	0	0	0	10	0	0	6	0
0	0	11	0	0	17	0	0	0	0	0	0
0	0	0	11	8	9	0	0	0	0	0	0
0	0	0	8	13	7	0	0	0	0	0	0
0	0	0	0	28	0	0	0	0	0	0	0
0	0	0	0	0	4	0	0	0	18	0	6
0	0	0	0	0	0	28	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	28	0
0	0	0	0	0	0	0	0	0	0	28	0
0	0	0	0	0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	0	0	0	0	28
27	0	0	0	0	0	0	0	0	0	0	0
27	0	0	0	0	0	0	0	0	0	0	0
15	0	1	0	0	1	1	3	2	2	2	0
14	13	0	0	0	0	0	0	0	0	0	0
9	18	0	0	0	0	0	0	0	0	0	0
9	4	11	0	0	0	0	0	0	3	0	0
8	13	0	0	0	0	0	0	6	0	0	0
8	0	0	0	7	12	0	0	0	0	0	0
8	0	0	5	0	0	7	0	0	0	7	0
7	6	4	0	5	2	0	0	3	0	0	0
6	0	3	6	2	0	0	0	0	10	0	0
6	11	0	0	5	5	0	0	0	0	0	0
0	10	8	9	0	0	0	0	0	0	0	0
0	9	7	6	0	5	0	0	0	0	0	0
0	8	0	0	0	19	0	0	0	0	0	0
0	7	0	4	4	3	0	4	0	5	0	0
0	0	0	27	0	0	0	0	0	0	0	0
0	0	0	10	0	0	17	0	0	0	0	0
0	0	0	4	0	0	6	6	4	0	0	7
0	0	0	0	0	27	0	0	0	0	0	0
0	0	0	0	0	0	21	0	0	0	6	0
0	0	0	0	0	0	16	0	0	0	11	0
0	0	0	0	0	0	0	0	0	19	8	0
19	0	0	7	0	0	0	0	0	0	0	0
11	0	6	5	0	0	0	0	0	0	0	4
11	0	0	8	7	0	0	0	0	0	0	0
9	0	6	7	0	0	0	0	4	0	0	0
9	0	9	8	0	0	0	0	0	0	0	0
8	1	0	5	1	0	6	0	5	0	0	0
8	0	10	0	0	5	3	0	0	0	0	0
6	11	0	3	0	6	0	0	0	0	0	0
6	4	5	5	6	0	0	0	0	0	0	0
5	0	6	8	0	7	0	0	0	0	0	0
5	3	3	10	0	0	0	0	0	5	0	0
5	5	6	6	0	4	0	0	0	0	0	0
4	12	2	8	0	0	0	0	0	0	0	0
4	10	3	3	6	0	0	0	0	0	0	0
0	16	0	10	0	0	0	0	0	0	0	0
0	11	8	0	0	0	0	0	0	7	0	0
0	10	0	10	0	6	0	0	0	0	0	0
0	7	12	2	0	5	0	0	0	0	0	0
0	0	26	0	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	7	0	0	0	0
0	0	11	0	15	0	0	0	0	0	0	0
0	0	9	4	6	7	0	0	0	0	0	0
0	0	4	3	6	5	0	0	5	3	0	0
0	0	0	0	0	0	26	0	0	0	0	0
0	0	0	0	0	0	12	0	0	0	14	0
0	0	0	0	0	0	7	0	0	13	6	0
0	0	0	0	0	0	0	26	0	0	0	0
25	0	0	0	0	0	0	0	0	0	0	0
14	0	11	0	0	0	0	0	0	0	0	0
13	0	0	0	8	0	0	0	4	0	0	0
5	5	0	5	0	0	0	0	5	0	0	5
4	12	9	0	0	0	0	0	0	0	0	0
3	0	0	2	0	0	0	13	0	0	7	0
0	25	0	0	0	0	0	0	0	0	0	0
0	25	0	0	0	0	0	0	0	0	0	0
0	14	0	11	0	0	0	0	0	0	0	0
0	13	4	0	8	0	0	0	0	0	0	0
0	9	0	0	9	0	0	0	4	3	0	0
0	7	0	6	8	4	0	0	0	0	0	0
0	6	0	0	5	0	0	0	0	14	0	0
0	6	0	0	9	3	0	7	0	0	0	0
0	0	12	0	13	0	0	0	0	0	0	0
0	0	7	0	0	3	0	0	0	15	0	0
0	0	7	18	0	0	0	0	0	0	0	0
0	0	0	10	7	0	0	8	0	0	0	0
0	0	0	0	25	0	0	0	0	0	0	0
0	0	0	0	7	0	0	12	6	0	0	0
0	0	0	0	0	25	0	0	0	0	0	0
0	0	0	0	0	0	7	0	0	0	18	0
0	0	0	0	0	0	0	0	0	0	25	0
24	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	9	0	0	0	0	0	0
11	0	0	13	0	0	0	0	0	0	0	0
10	0	0	10	4	0	0	0	0	0	0	0
6	5	0	10	0	3	0	0	0	0	0	0
5	8	0	3	4	4	0	0	0	0	0	0
4	0	5	0	7	3	0	0	0	5	0	0
4	6	0	11	3	0	0	0	0	0	0	0
4	0	0	5	10	5	0	0	0	0	0	0
3	13	0	0	0	0	2	0	0	6	0	0
2	9	4	0	5	4	0	0	0	0	0	0
1	0	10	3	0	2	0	0	8	0	0	0
0	24	0	0	0	0	0	0	0	0	0	0
0	9	0	0	0	15	0	0	0	0	0	0
0	9	9	0	6	0	0	0	0	0	0	0
0	8	0	0	11	0	0	0	0	5	0	0
0	4	6	0	7	7	0	0	0	0	0	0
0	0	11	0	0	0	0	0	13	0	0	0
0	0	8	5	0	0	0	0	0	5	6	0
0	0	8	6	0	0	0	0	5	0	0	5
0	0	0	0	18	0	0	0	0	6	0	0
0	0	0	0	0	9	0	0	0	9	6	0
0	0	0	0	0	0	0	24	0	0	0	0
0	0	0	0	0	0	0	7	0	6	0	11
0	0	0	0	0	0	0	0	0	24	0	0
0	0	0	0	0	0	0	0	0	0	0	24
23	0	0	0	0	0	0	0	0	0	0	0
14	0	9	0	0	0	0	0	0	0	0	0
12	0	0	11	0	0	0	0	0	0	0	0
9	0	0	14	0	0	0	0	0	0	0	0
8	0	4	0	0	11	0	0	0	0	0	0
6	6	0	7	4	0	0	0	0	0	0	0
5	7	0	7	4	0	0	0	0	0	0	0
4	4	0	9	0	4	0	2	0	0	0	0
1	0	0	10	7	1	0	0	0	0	4	0
0	7	0	5	0	0	0	0	0	5	0	6
0	7	5	0	0	5	0	0	0	6	0	0
0	5	4	0	5	9	0	0	0	0	0	0
0	0	23	0	0	0	0	0	0	0	0	0
0	0	0	0	12	11	0	0	0	0	0	0
0	0	0	0	0	0	8	0	0	15	0	0
0	0	0	0	0	0	5	0	0	0	18	0
0	0	0	0	0	0	0	10	0	13	0	0
0	0	0	0	0	0	0	0	0	0	23	0
0	0	0	0	0	0	0	0	0	0	0	23
22	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	6	0	0	0	0
12	0	10	0	0	0	0	0	0	0	0	0
11	4	0	5	0	0	2	0	0	0	0	0
10	0	9	3	0	0	0	0	0	0	0	0
10	0	0	12	0	0	0	0	0	0	0	0
10	7	0	5	0	0	0	0	0	0	0	0
