ASV	NC_1	NC_2	NC_3	NC_4	NC_5	NC_6	Tomato_1	Tomato_2	Tomato_3	Tomato_4	Tomato_5	Tomato_6
ed2fa8be462f9c21521ffde9f3ba4b76	0	0	0	0	0	0	146	106	0	11	126	258
02978dd174a623f7ccb7f17c116a234d	0	0	0	0	0	0	48	23	55	453	62	0
380f9f93ba35bd9861a47e461918bf6b	20	26	15	15	18	26	56	83	56	140	99	84
1496d7a4c625a44a441509d5a5c3960e	13	0	67	46	23	10	32	59	44	98	110	127
419363d6c01e0530014c2969b7098bbe	0	0	0	0	0	0	133	58	147	0	132	157
3b933399b1ced38a4a80791b4fa4ab99	84	92	113	86	57	36	17	20	30	36	21	19
547fde65dab2782e3cd9228d659445c8	53	66	39	61	58	25	0	82	53	50	75	49
666333ad07741498017f576d02e7ca81	56	32	49	51	94	35	38	45	57	84	23	35
41ee85afa099d8e5ca38f82090e9c210	90	54	55	70	117	58	0	32	47	27	47	0
185bc3e927e1ed03fc5b057dade72e52	5	0	0	0	4	0	145	47	77	199	50	58
7e900a570c0a1f496c2aa22cbc250ea2	83	90	79	76	45	43	13	33	29	26	31	34
a48a06df1f5dbd04c9e7e40d049bb52e	61	106	38	47	59	48	29	38	49	38	33	33
9b8a3e299bdc032d5dca361de6c9fa6e	51	37	45	70	88	28	29	38	48	61	50	34
3c6bd71d0af73f2b019324f2829cae90	137	79	76	100	36	25	0	17	23	36	28	19
158b3ce0b30af298f2767b53c9fb3690	0	45	7	14	19	454	6	0	0	18	0	8
26bd4aa3cca781e45fcfeb58aa60ef65	78	94	64	106	59	34	11	17	23	32	28	22
4a199c8f55b4bf46fee93acde726899a	70	60	64	89	85	55	21	21	21	37	19	17
99e9b36e84d05225a94b82c996c80c79	13	27	62	100	35	91	26	76	31	35	22	40
066e7424b4ec6824237c54ff06cd9a00	57	84	36	64	34	27	16	57	33	44	48	54
5be856d49b9a5674cd052d7c85aa1927	60	52	53	57	48	32	28	62	31	34	28	53
b6a9f14adb9ce65b45e0b57cdae016f2	50	20	48	56	62	21	55	64	50	18	20	73
81287d84faf9a970cd4d27c522eb0938	0	0	17	0	0	520	0	0	0	0	0	0
c96283959612f86b4efd76dc573569e1	0	0	0	0	0	0	106	49	114	183	11	73
95a48e7c4be5de124842641e067219a9	45	50	34	52	26	24	26	73	47	38	60	60
6ba202b738b7f0b82b7dd9e4c18b38d5	43	43	22	37	27	27	70	55	41	49	53	50
7016a89ddd6f914c2e8fde9c31c05ff4	55	42	55	58	87	50	27	22	30	32	35	22
450aa1baed148ccaae63d78eb9fababc	62	128	60	81	60	40	10	18	12	20	15	8
0da7e268ee14c85762fb5aaaa748be86	69	0	59	68	55	31	22	34	29	33	52	55
60bae020152daddf4900b366a9ef1774	107	48	71	75	81	48	0	17	9	37	12	0
09542733c82fb642aaa1bf1a1f1bb920	88	73	74	58	60	49	5	24	22	23	14	14
9b9a63f75ecf94b84115d2104a1d7f9d	69	45	87	79	63	16	18	38	26	11	13	26
669765143cc7ffb6ad378432af10f17d	0	0	0	17	33	6	40	187	26	12	97	67
b6c955fd0d2db6cb74af703b4c5d3df7	46	59	29	48	62	19	31	48	25	45	41	28
c7511f6ef1f1bdb63c249524f83d76e9	53	28	47	39	29	16	41	47	41	45	43	38
3e639c7bc3efba4226eaf094a643fee3	28	18	25	14	28	0	85	58	64	27	68	46
1d7e576de844b151ae3a6cec4087b9fe	19	28	20	21	32	10	56	57	31	36	79	72
609dbecbe0752fae59a80d569c587b5f	19	16	59	62	35	44	36	93	30	25	21	20
c6d1dc283c3689e1c560f8fd35afc38c	30	36	22	31	36	21	53	49	48	43	34	54
e1979219bee91ba95cb3e2354dfeda63	71	61	53	95	68	32	6	14	7	17	20	11
dfd04b52f16e54329e1456c12c7b3585	58	22	55	65	61	27	15	26	35	30	33	24
9438b14bb5c75ba3c0588000ae56053c	0	20	54	28	30	201	20	0	28	41	10	19
1c0c1290f927f57025e7799a00f3d2d2	47	54	29	36	28	59	17	36	26	47	35	35
0d23d485b6b9bd2ff3519bbc312d85cb	0	18	0	29	16	0	42	87	55	54	29	119
80b53f8e9487e80fb8a57da1196addbb	26	17	7	25	59	13	46	53	42	31	56	71
d39163b9b648a31f2075f2826cef2d6d	10	0	0	11	0	0	72	54	104	32	38	122
bb63edf4914ca5be5cc5febe9f361103	20	36	34	37	45	22	39	44	46	44	35	40
17895dc9b875bbc2dbab707253f3d245	44	51	35	43	65	36	45	25	29	36	0	30
da0f666cf551dbbfb4c2b680a5f46bae	12	0	42	45	67	15	42	87	53	33	13	25
1b0ae8e000f924a9d3575d4159a9532a	78	33	56	62	100	26	13	11	16	19	5	14
a0077b9fdbb5576a2e143e001c724a87	35	35	43	41	24	24	25	37	46	34	41	47
8be323871e886094cf7cb32128f8d883	19	9	11	15	20	5	40	50	39	71	89	58
072c15c76dbaabd3cfba5d6cbfd42f8e	61	64	46	32	35	16	0	26	25	46	39	35
489c24d224daf7a420e9791f4ddbead3	13	13	16	0	0	0	62	71	39	32	94	77
fa7db71dc40d1c757018ad968c0fb51f	64	20	46	82	41	24	23	34	28	29	14	11
3b0c77d89bbbe4eb81de0547b844dd6e	63	34	48	51	51	23	20	24	32	28	20	21
b0947699d512a78207ded6294058c421	20	32	17	17	29	0	80	57	44	19	48	49
abd106a67137ee4367e03ec682e84a28	0	40	37	0	43	108	0	39	0	65	44	36
2a6852049922570d0c7076e40785caee	52	160	46	52	0	50	9	9	5	20	4	2
0c803c93e754b0da16ad22dc0d6ae916	27	80	38	37	26	27	10	32	18	41	35	34
4c065a3671ea510f48f72ec41cf25153	23	10	13	15	11	12	70	35	41	74	59	42
e09d72733605b88ccab92a03e657436d	45	41	40	41	47	38	0	42	0	41	24	36
67414c08a4fed7b23a98c41386ba9bc0	23	0	26	22	40	11	68	44	35	36	33	57
4d9a0d4cdd67dc1f3581ec8cb2ac3032	4	5	43	16	17	9	39	28	124	37	10	63
65456cfdb5a33d42f83dae5d6e8440c3	56	52	45	62	65	40	0	18	7	25	12	12
5dddd8af0a60e7e41918e6ce8ee405c5	44	54	47	60	56	35	0	0	19	32	22	25
9fdb361f474e1fcbd757b11186a2eaf4	0	0	24	0	0	0	21	113	62	57	59	52
ed51d91a64575dadd645812bc12aa37d	48	16	33	36	30	10	26	48	31	27	39	41
ad6142e1c70aa948ed4dd67ed09ec655	33	0	37	36	30	0	35	82	44	0	27	60
5d90831c75971a4f123dafef2fff297f	56	74	56	40	31	42	8	20	7	23	17	8
e69dec4ee6303cbe7d1984e1de5c10f2	22	34	17	14	18	13	62	34	23	39	66	37
44a9fff4890b2dec1d169035b7b6bb1d	60	65	54	23	50	23	6	12	21	27	14	14
7ac6aba193e6aad30d2adab8d204d6b7	52	46	60	40	14	16	22	38	32	24	10	14
bc42970b620d9942a06af5de47d65a73	45	33	35	48	53	35	14	19	33	24	19	10
0d83ff0590039c9ddf81139d0e9cb06d	35	43	41	47	61	37	0	23	25	32	23	0
41b60f75e1235ddd4bef0a51b1c678e0	0	0	0	0	0	0	50	0	0	0	285	27
b350ebc4107e2b5259977a001c72875f	43	0	50	48	0	0	44	53	51	0	0	67
9a2abd6afb5fa46fae1c1165aa0d65e3	64	26	66	62	52	33	0	18	20	14	0	0
8d0349268794622b532955075e5d605f	41	38	34	43	29	13	15	23	32	61	7	13
aa495f6e7ccbea50c3c48f58e3d145da	20	13	11	0	0	0	42	61	41	31	74	55
29220f95f9e5089091b18af24c785660	63	69	45	71	42	28	12	17	0	0	0	0
6427b20e5310f49f5a41a8989b94c546	0	0	0	0	0	0	71	98	20	0	62	96
be2c4253a074bcaafd3cb4f2549bf940	18	0	31	23	18	57	39	71	17	12	28	31
1a90a2fb683951a95a211c54bb9563eb	68	48	44	50	41	25	14	0	15	20	18	0
a693da48a613155a22362823a8c9d05b	48	30	55	65	29	26	0	21	13	38	0	18
74ecb90c18290ccbc02f3de140e62669	62	39	38	60	66	29	7	8	14	13	6	0
c077d545bf0b2f731c45ee1ead2b5816	31	27	22	39	46	23	27	39	36	14	16	22
855f1110befc85b18a04d9165eaf7294	0	41	41	22	0	35	46	38	41	18	42	16
b88f8ca0d07bf1757ca362e2eb374f0d	0	0	0	0	0	0	55	54	94	22	19	90
3972bc47585eb79df1a6c4a7fd80ccc3	0	0	0	0	16	0	34	65	47	48	54	66
20433625480ee7eee2d19f541926eb47	3	0	7	4	9	30	23	18	73	111	18	33
383f919b21596c2438ee3abd4338ed45	67	50	46	27	55	33	6	0	4	32	0	6
275d4fdf16086f23a2fe61153ff845e5	6	0	59	38	10	147	21	25	3	7	5	4
54be9fd70b49c4eac68b95d0cfdb8019	58	28	44	31	48	29	19	14	18	0	12	20
81093b2cc26356b8e8142cb2df80ed7d	30	19	24	35	29	19	15	19	25	36	29	36
a87d8ef49af24835481f490460bd5c34	29	32	17	16	35	15	23	33	21	11	47	37
fb1421f7ed98f1661c9a0d4a7fef6223	0	0	20	0	29	0	103	3	54	28	27	49
5927993a97607ff3d542903d378fc52f	0	0	11	8	31	97	25	45	18	17	43	15
ec2af4bf4cfb8f380ad1e84438a090d1	33	36	35	47	53	33	0	0	24	23	11	11
a0b099481f009b1989e2888cac43dd1e	41	38	21	41	40	26	12	8	17	27	14	17
00ed4de9fe6de0a28917c912bc839897	50	30	39	13	34	17	13	24	24	32	8	16
ddcba00ccfc32cb88448e1ee6e6c9483	45	35	47	40	37	29	8	14	19	14	0	12
39bbd8b4e7702f0a47568caafe4621f2	21	21	28	24	40	0	16	30	33	38	25	24
ee3b2cf161427e538e251a4c118f6d95	47	27	42	46	37	18	0	15	24	26	0	17
1773b4122634b6e5fab90e84aca4746c	68	23	33	53	57	36	7	0	10	11	0	0
42a40b1da95aea777f4b9d8956001ee0	27	21	34	23	28	0	31	20	39	27	15	33
6bd6751db033227253386f3f1d5650ee	47	66	60	31	52	24	0	14	0	0	0	0
a095f4f9cd1368c2586346a13cdd3268	20	27	21	23	13	34	17	33	22	19	39	26
72272784ebbb14016ee58b9952e453dc	61	20	49	41	42	11	12	11	17	16	0	13
af9d9070794aab9f668699871c371d58	72	20	18	70	11	13	9	13	30	17	11	7
bf6e0bd3670586d42eb2a74692a70b22	34	52	18	38	32	39	9	13	15	19	11	10
47922e544532cb16d5150dc6a6921b12	48	32	33	62	34	27	0	0	27	0	0	25
0de76381a1bbf8c37f302d16a52b426f	13	32	26	28	38	14	18	27	29	27	23	11
e6cdc42f340e1de3ebdb2c766f9d9372	9	0	0	0	6	0	55	49	43	32	46	46
c83909370eb07a8901750cb07f5c8a4a	37	22	0	32	34	47	0	17	19	30	25	21
674af7e3691ef99e9ae3a01782b30349	42	86	26	36	48	20	3	6	4	0	7	4
04d97553edeecc55f56bdb6c03921acd	5	0	14	5	0	0	33	58	30	36	27	74
9970153c7c36df13e280bb854526b006	29	4	31	15	43	4	31	23	36	26	14	25
6f836d489578b701a4bf54b8db9aef36	23	20	23	23	35	17	11	20	25	36	12	36
1ef32207b73588fcef7a1391e5aabe2d	17	24	0	20	35	23	37	28	18	17	33	29
307831fb698d13f8448ee5f7a1e3e8a9	48	31	40	23	28	18	0	17	18	26	15	14
