Genero	Tomato_6	Tomato_5	Tomato_4	Tomato_3	Tomato_2	Tomato_1	NC_6	NC_5	NC_4	NC_3	NC_2	NC_1
index	Tomato_6	Tomato_5	Tomato_4	Tomato_3	Tomato_2	Tomato_1	NC_6	NC_5	NC_4	NC_3	NC_2	NC_1
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Mangrovicella	110	 97	124	 71	129	 44	151	 86	208	161	125	140
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;__;__	465	356	320	220	445	295	254	560	779	557	495	920
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pararcticibacter	107	344	221	133	361	712	116	249	224	158	251	275
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;__;__	136	132	 30	127	 63	 59	 25	128	  0	 19	 38	  0
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingopyxis	372	176	 49	268	208	235	  0	  0	 11	 28	  7	 32
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylovorus	 86	 70	172	128	 83	 91	 35	131	 73	 77	 59	 83
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;__;__	 60	 50	201	 77	 47	145	  0	 18	  0	  8	 10	  5
d__Bacteria;__;__;__;__;__	 335	 261	 323	 369	 343	 197	 461	 877	1114	 954	 876	1276
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Pedosphaerales;f__Pedosphaeraceae;g__RS25G	 45	 33	 38	 54	 38	 39	 48	 74	 47	 44	111	 93
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halotalea	  8	  0	 18	  0	  0	  6	491	 19	 14	  7	 45	  0
d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira	 17	 19	 40	 26	 21	 21	 60	107	 92	 68	 60	 70
d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Oxalophagus	 50	 99	 95	 87	 70	 70	141	267	225	164	112	208
d__Bacteria;p__Myxococcota;c__Polyangiia;o__Polyangiales;f__Polyangiaceae;g__Racemicystis	  8	 15	 20	 12	 18	 10	 54	107	159	109	193	105
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Elsterales;f__Elsteraceae;g__Aliidongia	55	52	33	29	46	22	31	75	68	65	 0	76
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__AKYG587	14	14	23	22	24	 5	49	60	58	74	73	88
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	105	114	 23	 90	231	165	  6	 33	 17	 11	  0	 10
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Incertae_Sedis	20	21	25	30	93	36	44	35	62	59	16	19
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Paraflavitalea	166	135	135	183	197	159	 59	115	 91	 96	 75	106
d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__Subgroup_10	 11	 20	 17	  7	 17	  6	 32	 73	109	 55	 66	 82
d__Bacteria;p__Latescibacterota;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	 16	  5	 22	 18	 11	 13	 31	109	 73	 64	 39	 95
d__Bacteria;p__Gemmatimonadota;c__Longimicrobiia;o__Longimicrobiales;f__Longimicrobiaceae;g__Incertae_Sedis	126	105	205	167	151	 70	157	359	334	360	370	445
